oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.30, CEST,lun 13 apr 2020, 13.38.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.35, CEST,lun 13 apr 2020, 13.38.41, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.41, CEST,lun 13 apr 2020, 13.38.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.47, CEST,lun 13 apr 2020, 13.38.52, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.52, CEST,lun 13 apr 2020, 13.38.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.38.57, CEST,lun 13 apr 2020, 13.39.03, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.03, CEST,lun 13 apr 2020, 13.39.08, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.08, CEST,lun 13 apr 2020, 13.39.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.14, CEST,lun 13 apr 2020, 13.39.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.19, CEST,lun 13 apr 2020, 13.39.24, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.24, CEST,lun 13 apr 2020, 13.39.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.39.30, CEST,lun 13 apr 2020, 13.39.35, CEST
